category,emojiSet,answer
movies,🦈🩸🌊,JAWS
movies,👨‍⚕️😴,Doctor Sleep
movies,🦠🏠🔪,Parasite
animated,🔵⚡️🦔,Sonic the Hedgehog
movies,☘️🇮🇪🕴🕴🕴,The Irishman
movies,🌳🌳🏃‍♂️🧳📦🍫,Forrest Gump
movies,1️⃣2️⃣😡🔪,12 Angry Men
movies,👧🏽👠🌈🤖🦁🟨🧱,The Wizard of Oz
movies,🥞🥯☕️➡️💍🔷,Breakfast at Tiffany's
movies,👑🦍🗼,King Kong
movies,⚫️🐆,Black Panther
movies,🕛☀️,Midnight Sun
movies,🧢🐱⚡👦🏾🧪👨‍🦽😎,pokemon detective pikachu
animated,🐻🧸🐾🏔🦌🦌,Brother Bear
animated,🐻🧸🐾🏔🦌🦌👧🏻2️⃣,Brother Bear 2
