category,emojiSet,answer
kdrama,👩🏻❤🙅🏻‍♂️🧑🏻🧠🏫👨‍👧➡️👨‍👩‍👧‍👧🏠,playful kiss
kvariety,2️⃣☀️➕1️⃣🌙,two days and one night
kvariety,👨‍👩‍👧‍👦➡️🥘🍲🏠,family outing 
kvariety,👫👭👬🏠🚪😀,roommate
kvariety,✖🧍🏻‍♂️,x-man
kvariety ,🤴🏻🎭🎤,king of mask singer
movie,🧑🏻🇰🇵➡️🤪🩳🇰🇷,secretly greatly
kdrama,🤴🏻💀🤴🏻🐎🚪🌏👮🏻‍♀️,the king eternal Monarch 
kdrama,🦊🧑🏻🔎👨‍👩‍👧‍👦📖,gu family book
kdrama,👦🏻🤜👦🏻👨‍👦💀🔒➡️👨🏻‍🍳🏠➡️📊🏢💰,itaewon class
kdrama,👻👩🏻👀👨🏻‍⚖️,arang and the magistrate
kpop,🎤❌⭕,EXO
kpop,🎤4️⃣⏲,4Minute
kpop,🎵🛁🍿,Bubble Pop!
kdrama,❤🧵🧵🎸,heartstrings
kdrama,👸🏻🕐🕑🕒🕓🕔,princess hours
kdrama,🤴🏻🕐🕑🕒🕓🕔,prince hours
kpop,🎤7️⃣👑,T-ara
